Saggio,Molecola,Esito
PROVA AL COCCIO,METRONIDAZOLO,POSITIVO
PROVA AL COCCIO,NICLOSAMIDE,POSITIVO
PROVA AL COCCIO,NICOTINAMIDE,POSITIVO
PROVA AL COCCIO,POTASSIO SORBATO,POSITIVO
PROVA AL COCCIO,POTASSIO TARTRATO,POSITIVO
PROVA AL COCCIO,PREDNISONE,POSITIVO
PROVA AL COCCIO,PROCAINA HCl,POSITIVO
PROVA AL COCCIO,PROCAINAMMIDE HCl,POSITIVO
PROVA AL COCCIO,PROGESTERONE,POSITIVO
PROVA AL COCCIO,PROLINA,POSITIVO
PROVA AL COCCIO,PROMETAZINA HCl,POSITIVO
PROVA AL COCCIO,PROPIFENAZONE,POSITIVO
PROVA AL COCCIO,PROPILPARABEN,POSITIVO
PROVA AL COCCIO,SACCARINA,POSITIVO
PROVA AL COCCIO,SACCARINA SODICA,POSITIVO
PROVA AL COCCIO,SACCAROSIO,POSITIVO
PROVA AL COCCIO,SCOPOLAMINA HBr,POSITIVO
PROVA AL COCCIO,SERINA,POSITIVO
PROVA AL COCCIO,SODIO ACETATO,POSITIVO
PROVA AL COCCIO,SODIO ASCORBATO,POSITIVO
PROVA AL COCCIO,SODIO BENZOATO,POSITIVO
PROVA AL COCCIO,SODIO CITRATO,POSITIVO
PROVA AL COCCIO,SODIO P-AMMINO SALICILATO,POSITIVO
PROVA AL COCCIO,SODIO SALICILATO,POSITIVO
PROVA AL COCCIO,SORBITOLO,POSITIVO
PROVA AL COCCIO,SPIRONOLATTONE,POSITIVO
PROVA AL COCCIO,SUCRALOSIO,POSITIVO
PROVA AL COCCIO,SULFADIAZINA,POSITIVO
PROVA AL COCCIO,SULFAGUANIDINA,POSITIVO
PROVA AL COCCIO,SULFAMERAZINA,POSITIVO
PROVA AL COCCIO,SULFANILAMIDE,POSITIVO
PROVA AL COCCIO,SULFATIAZOLO,POSITIVO
PROVA AL COCCIO,TEOBROMINA,POSITIVO
PROVA AL COCCIO,TEOFILLINA,POSITIVO
PROVA AL COCCIO,TIAMINA HCl,POSITIVO
PROVA AL COCCIO,TIMOLO,POSITIVO
PROVA AL COCCIO,TOLBUTAMIDE,POSITIVO
PROVA AL COCCIO,TRIPTOFANO,POSITIVO
TIOCROMO (TIAMINA HCl),TIAMINA HCl,POSITIVO
RESORCINA & FLUORESCENZA (SACCARINA E SALI),SACCARINA,POSITIVO
RESORCINA & FLUORESCENZA (SACCARINA E SALI),SACCARINA SODICA,POSITIVO
RESORCINA + NaOH (CLORALIO IDRATO),CLORBUTANOLO,NEGATIVO
RESORCINA + NaOH (CLORALIO IDRATO),SUCRALOSIO,NEGATIVO
RESORCINA + NaOH (CLORALIO IDRATO),CLORALIO IDRATO,POSITIVO
RIDUZIONE GRUPPO NITRO (NO2-Ar),CHININA SOLFATO,NEGATIVO
BEILSTEIN (FILO Cu),ACIDO ACETILSALICILICO,NEGATIVO
BEILSTEIN (FILO Cu),ACIDO ASCORBICO,NEGATIVO
BEILSTEIN (FILO Cu),ACIDO BENZOICO,NEGATIVO
BEILSTEIN (FILO Cu),ACIDO CITRICO,NEGATIVO
BEILSTEIN (FILO Cu),ACIDO NICOTINICO,NEGATIVO
BEILSTEIN (FILO Cu),ACIDO SALICILICO,NEGATIVO
BEILSTEIN (FILO Cu),ACIDO SORBICO,NEGATIVO
BEILSTEIN (FILO Cu),ACIDO TANNICO,NEGATIVO
BEILSTEIN (FILO Cu),ACIDO TARTARICO,NEGATIVO
BEILSTEIN (FILO Cu),ASPARTAME,NEGATIVO
BEILSTEIN (FILO Cu),BENZOCAINA,NEGATIVO
BEILSTEIN (FILO Cu),CAFFEINA,NEGATIVO
BEILSTEIN (FILO Cu),CALCIO PANTOTENATO,NEGATIVO
BEILSTEIN (FILO Cu),CAPTOPRIL,NEGATIVO
BEILSTEIN (FILO Cu),CHINIDINA SOLFATO,NEGATIVO
BEILSTEIN (FILO Cu),FENAZONE,NEGATIVO
BEILSTEIN (FILO Cu),FENILALANINA,NEGATIVO
BEILSTEIN (FILO Cu),FRUTTOSIO,NEGATIVO
BEILSTEIN (FILO Cu),FTALILSULFATIAZOLO,NEGATIVO
BEILSTEIN (FILO Cu),IDROCORTISONE,NEGATIVO
BEILSTEIN (FILO Cu),IDROCORTISONE ACETATO,NEGATIVO
BEILSTEIN (FILO Cu),MANNITOLO,NEGATIVO
BEILSTEIN (FILO Cu),METRONIDAZOLO,NEGATIVO
BEILSTEIN (FILO Cu),NICOTINAMIDE,NEGATIVO
BEILSTEIN (FILO Cu),PROPIFENAZONE,NEGATIVO
BEILSTEIN (FILO Cu),PROPILPARABEN,NEGATIVO
BEILSTEIN (FILO Cu),SACCARINA,NEGATIVO
BEILSTEIN (FILO Cu),SACCAROSIO,NEGATIVO
BEILSTEIN (FILO Cu),SERINA,NEGATIVO
BEILSTEIN (FILO Cu),SODIO ACETATO,NEGATIVO
BEILSTEIN (FILO Cu),SODIO CITRATO,NEGATIVO
BEILSTEIN (FILO Cu),SODIO P-AMMINO SALICILATO,NEGATIVO
BEILSTEIN (FILO Cu),SODIO SALICILATO,NEGATIVO
BEILSTEIN (FILO Cu),SORBITOLO,NEGATIVO
BEILSTEIN (FILO Cu),SPIRONOLATTONE,NEGATIVO
BEILSTEIN (FILO Cu),SULFADIAZINA,NEGATIVO
BEILSTEIN (FILO Cu),SULFATIAZOLO,NEGATIVO
BEILSTEIN (FILO Cu),TEOBROMINA,NEGATIVO
BEILSTEIN (FILO Cu),CHININA HCl,POSITIVO
BEILSTEIN (FILO Cu),CISTEINA HCl,POSITIVO
BEILSTEIN (FILO Cu),CLORALIO IDRATO,POSITIVO
BEILSTEIN (FILO Cu),CLORAMINA T,POSITIVO
BEILSTEIN (FILO Cu),CLORBUTANOLO,POSITIVO
BEILSTEIN (FILO Cu),CLORPROMAZINA HCl,POSITIVO
BEILSTEIN (FILO Cu),DIFENIDRAMINA HCl,POSITIVO
BEILSTEIN (FILO Cu),ECONAZOLO NITRATO,POSITIVO
BEILSTEIN (FILO Cu),EFEDRINA HCl,POSITIVO
BEILSTEIN (FILO Cu),FENILEFRINA HCl,POSITIVO
BEILSTEIN (FILO Cu),IDROCLOROTIAZIDE,POSITIVO
BEILSTEIN (FILO Cu),IMIPRAMINA HCl,POSITIVO
BEILSTEIN (FILO Cu),LIDOCAINA HCl,POSITIVO
BEILSTEIN (FILO Cu),LISINA HCl,POSITIVO
BEILSTEIN (FILO Cu),METFORMINA HCl,POSITIVO
BEILSTEIN (FILO Cu),METIONINA,POSITIVO
BEILSTEIN (FILO Cu),PROCAINA HCl,POSITIVO
BEILSTEIN (FILO Cu),PROLINA,POSITIVO
BEILSTEIN (FILO Cu),PROMETAZINA HCl,POSITIVO
BEILSTEIN (FILO Cu),SUCRALOSIO,POSITIVO
BEILSTEIN (FILO Cu),TIAMINA HCl,POSITIVO
SAGGIO BIURETO,SULFADIAZINA,NEGATIVO
SAGGIO BIURETO,FTALILSULFATIAZOLO,POSITIVO
SAGGIO BIURETO,SULFATIAZOLO,POSITIVO
SAGGIO LEGAL (ACIDO ASCORBICO),ACIDO ASCORBICO,POSITIVO
ACIDO CROMOTROPICO,DAPSONE,NEGATIVO
ACIDO CROMOTROPICO,IDROCLOROTIAZIDE,POSITIVO
SELIWANOFF (CHETOESOSI),LATTOSIO,NEGATIVO
SELIWANOFF (CHETOESOSI),FRUTTOSIO,POSITIVO
SELIWANOFF (CHETOESOSI),SACCAROSIO,POSITIVO
SOLUBILITA ACQUA,ACIDO SORBICO,NEGATIVO
SOLUBILITA ACQUA,BENZOCAINA,NEGATIVO
SOLUBILITA ACQUA,CORTISONE ACETATO,NEGATIVO
SOLUBILITA ACQUA,DAPSONE,NEGATIVO
SOLUBILITA ACQUA,ECONAZOLO NITRATO,NEGATIVO
SOLUBILITA ACQUA,FENOTIAZINA,NEGATIVO
SOLUBILITA ACQUA,FTALILSULFATIAZOLO,NEGATIVO
SOLUBILITA ACQUA,FUROSEMIDE,NEGATIVO
SOLUBILITA ACQUA,IDROCORTISONE,NEGATIVO
SOLUBILITA ACQUA,INDOMETACINA,NEGATIVO
SOLUBILITA ACQUA,METILPARABEN,NEGATIVO
SOLUBILITA ACQUA,NICLOSAMIDE,NEGATIVO
SOLUBILITA ACQUA,NIFEDIPINA,NEGATIVO
SOLUBILITA ACQUA,PREDNISONE,NEGATIVO
SOLUBILITA ACQUA,PROBENECID,NEGATIVO
SOLUBILITA ACQUA,PROGESTERONE,NEGATIVO
SOLUBILITA ACQUA,PROPILPARABEN,NEGATIVO
SOLUBILITA ACQUA,SACCARINA,NEGATIVO
SOLUBILITA ACQUA,SPIRONOLATTONE,NEGATIVO
SOLUBILITA ACQUA,SPIRONOLATTONE,NEGATIVO
SOLUBILITA ACQUA,SULFADIAZINA,NEGATIVO
SOLUBILITA ACQUA,SULFAMERAZINA,NEGATIVO
SOLUBILITA ACQUA,TEOBROMINA,NEGATIVO
SOLUBILITA ACQUA,TOLBUTAMIDE,NEGATIVO
SOLUBILITA ACQUA,VALINA,NEGATIVO
SOLUBILITA ACQUA,ACETILCISTEINA,POSITIVO
SOLUBILITA ACQUA,ACIDO ACETILSALICILICO,POSITIVO
SOLUBILITA ACQUA,ACIDO ASCORBICO,POSITIVO
SOLUBILITA ACQUA,ACIDO BENZOICO,POSITIVO
SOLUBILITA ACQUA,ACIDO CITRICO,POSITIVO
SOLUBILITA ACQUA,ACIDO NICOTINICO,POSITIVO
SOLUBILITA ACQUA,ACIDO SALICILICO,POSITIVO
SOLUBILITA ACQUA,ACIDO TANNICO,POSITIVO
SOLUBILITA ACQUA,ACIDO TARTARICO,POSITIVO
SOLUBILITA ACQUA,ALANINA,POSITIVO
SOLUBILITA ACQUA,ASPARTAME,POSITIVO
SOLUBILITA ACQUA,CAFFEINA,POSITIVO
SOLUBILITA ACQUA,CALCIO GLICEROFOSFATO,POSITIVO
SOLUBILITA ACQUA,CALCIO GLICEROFOSFATO,POSITIVO
SOLUBILITA ACQUA,CALCIO LATTATO,POSITIVO
SOLUBILITA ACQUA,CALCIO PANTOTENATO,POSITIVO
SOLUBILITA ACQUA,CAPTOPRIL,POSITIVO
SOLUBILITA ACQUA,CHINIDINA SOLFATO,POSITIVO
SOLUBILITA ACQUA,CHININA HCl,POSITIVO
SOLUBILITA ACQUA,CHININA SOLFATO,POSITIVO
SOLUBILITA ACQUA,CISTEINA HCl,POSITIVO
SOLUBILITA ACQUA,CLORALIO IDRATO,POSITIVO
SOLUBILITA ACQUA,CLORAMINA T,POSITIVO
SOLUBILITA ACQUA,CLORBUTANOLO,POSITIVO
SOLUBILITA ACQUA,CLOROCHINA BIFOSFATO,POSITIVO
SOLUBILITA ACQUA,CLORPROMAZINA HCl,POSITIVO
SOLUBILITA ACQUA,DESAMETASONE SODIO FOSFATO,POSITIVO
SOLUBILITA ACQUA,DIFENIDRAMINA HCl,POSITIVO
SOLUBILITA ACQUA,EFEDRINA HCl,POSITIVO
SOLUBILITA ACQUA,FENAZONE,POSITIVO
SOLUBILITA ACQUA,FENILALANINA,POSITIVO
SOLUBILITA ACQUA,FENILEFRINA HCl,POSITIVO
SOLUBILITA ACQUA,FENOLO,POSITIVO
SOLUBILITA ACQUA,FRUTTOSIO,POSITIVO
SOLUBILITA ACQUA,GLICINA,POSITIVO
SOLUBILITA ACQUA,GLUCOSIO,POSITIVO
SOLUBILITA ACQUA,IDROCLOROTIAZIDE,POSITIVO
SOLUBILITA ACQUA,ISONIAZIDE,POSITIVO
SOLUBILITA ACQUA,LATTOSIO,POSITIVO
SOLUBILITA ACQUA,LEUCINA,POSITIVO
SOLUBILITA ACQUA,LIDOCAINA HCl,POSITIVO
SOLUBILITA ACQUA,LISINA HCl,POSITIVO
SOLUBILITA ACQUA,LITIO CITRATO,POSITIVO
SOLUBILITA ACQUA,MAGNESIO ASPARTATO,POSITIVO
SOLUBILITA ACQUA,MAGNESIO LATTATO,POSITIVO
SOLUBILITA ACQUA,MANNITOLO,POSITIVO
SOLUBILITA ACQUA,METFORMINA HCl,POSITIVO
SOLUBILITA ACQUA,METIONINA,POSITIVO
SOLUBILITA ACQUA,METRONIDAZOLO,POSITIVO
SOLUBILITA ACQUA,NICOTINAMIDE,POSITIVO
SOLUBILITA ACQUA,PAPAVERINA HCl,POSITIVO
SOLUBILITA ACQUA,PARACETAMOLO,POSITIVO
SOLUBILITA ACQUA,PIRIDOSSINA HCl,POSITIVO
SOLUBILITA ACQUA,POTASSIO ASPARTATO,POSITIVO
SOLUBILITA ACQUA,POTASSIO SORBATO,POSITIVO
SOLUBILITA ACQUA,POTASSIO TARTRATO,POSITIVO
SOLUBILITA ACQUA,PROCAINA HCl,POSITIVO
SOLUBILITA ACQUA,PROCAINAMMIDE HCl,POSITIVO
SOLUBILITA ACQUA,PROLINA,POSITIVO
SOLUBILITA ACQUA,PROMETAZINA HCl,POSITIVO
SOLUBILITA ACQUA,PROPIFENAZONE,POSITIVO
SOLUBILITA ACQUA,SACCARINA SODICA,POSITIVO
SOLUBILITA ACQUA,SACCAROSIO,POSITIVO
SOLUBILITA ACQUA,SCOPOLAMINA HBr,POSITIVO
SOLUBILITA ACQUA,SERINA,POSITIVO
SOLUBILITA ACQUA,SODIO ACETATO,POSITIVO
SOLUBILITA ACQUA,SODIO ASCORBATO,POSITIVO
SOLUBILITA ACQUA,SODIO BENZOATO,POSITIVO
SOLUBILITA ACQUA,SODIO CITRATO,POSITIVO
SOLUBILITA ACQUA,SODIO P-AMMINO SALICILATO,POSITIVO
SOLUBILITA ACQUA,SODIO SALICILATO,POSITIVO
SOLUBILITA ACQUA,SORBITOLO,POSITIVO
SOLUBILITA ACQUA,SUCRALOSIO,POSITIVO
SOLUBILITA ACQUA,SULFAGUANIDINA,POSITIVO
SOLUBILITA ACQUA,SULFANILAMIDE,POSITIVO
SOLUBILITA ACQUA,SULFATIAZOLO,POSITIVO
SOLUBILITA ACQUA,TEOFILLINA,POSITIVO
SOLUBILITA ACQUA,TIAMINA HCl,POSITIVO
SOLUBILITA ACQUA,TIMOLO,POSITIVO
SOLUBILITA ACQUA,TREONINA,POSITIVO
SOLUBILITA ACQUA,TRIPTOFANO,POSITIVO
SOLUBILITA ACQUA,VANILLINA,POSITIVO
SOLUBILITA ETOH,ALANINA,NEGATIVO
SOLUBILITA ETOH,CALCIO GLICEROFOSFATO,NEGATIVO
SOLUBILITA ETOH,CORTISONE ACETATO,NEGATIVO
SOLUBILITA ETOH,FENILALANINA,NEGATIVO
SOLUBILITA ETOH,FTALILSULFATIAZOLO,NEGATIVO
SOLUBILITA ETOH,LATTOSIO,NEGATIVO
SOLUBILITA ETOH,MAGNESIO ASPARTATO,NEGATIVO
SOLUBILITA ETOH,MAGNESIO LATTATO,NEGATIVO
SOLUBILITA ETOH,MANNITOLO,NEGATIVO
SOLUBILITA ETOH,SACCARINA,NEGATIVO
SOLUBILITA ETOH,SODIO BENZOATO,NEGATIVO
SOLUBILITA ETOH,SODIO P-AMMINO SALICILATO,NEGATIVO
SOLUBILITA ETOH,SORBITOLO,NEGATIVO
SOLUBILITA ETOH,ACIDO ACETILSALICILICO,POSITIVO
SOLUBILITA ETOH,ACIDO CITRICO,POSITIVO
SOLUBILITA ETOH,ACIDO SORBICO,POSITIVO
SOLUBILITA ETOH,ACIDO TANNICO,POSITIVO
SOLUBILITA ETOH,CAFFEINA,POSITIVO
SOLUBILITA ETOH,CAPTOPRIL,POSITIVO
SOLUBILITA ETOH,CLORALIO IDRATO,POSITIVO
SOLUBILITA ETOH,CLORBUTANOLO,POSITIVO
SOLUBILITA ETOH,DAPSONE,POSITIVO
SOLUBILITA ETOH,DIFENIDRAMINA HCl,POSITIVO
SOLUBILITA ETOH,ECONAZOLO NITRATO,POSITIVO
SOLUBILITA ETOH,EFEDRINA HCl,POSITIVO
SOLUBILITA ETOH,FENOTIAZINA,POSITIVO
SOLUBILITA ETOH,GLICINA,POSITIVO
SOLUBILITA ETOH,IDROCORTISONE,POSITIVO
SOLUBILITA ETOH,IMIPRAMINA HCl,POSITIVO
SOLUBILITA ETOH,INDOMETACINA,POSITIVO
SOLUBILITA ETOH,ISONIAZIDE,POSITIVO
SOLUBILITA ETOH,LIDOCAINA HCl,POSITIVO
SOLUBILITA ETOH,METRONIDAZOLO,POSITIVO
SOLUBILITA ETOH,NICOTINAMIDE,POSITIVO
SOLUBILITA ETOH,NIFEDIPINA,POSITIVO
SOLUBILITA ETOH,PREDNISONE,POSITIVO
SOLUBILITA ETOH,PROBENECID,POSITIVO
SOLUBILITA ETOH,PROCAINAMMIDE HCl,POSITIVO
SOLUBILITA ETOH,PROGESTERONE,POSITIVO
SOLUBILITA ETOH,PROMETAZINA HCl,POSITIVO
SOLUBILITA ETOH,SACCAROSIO,POSITIVO
SOLUBILITA ETOH,SPIRONOLATTONE,POSITIVO
SOLUBILITA ETOH,TIMOLO,POSITIVO
SOLUBILITA ETOH,TOLBUTAMIDE,POSITIVO
SOLUBILITA HCL,ACIDO SORBICO,NEGATIVO
SOLUBILITA HCL,CLORBUTANOLO,NEGATIVO
SOLUBILITA HCL,CORTISONE ACETATO,NEGATIVO
SOLUBILITA HCL,DESAMETASONE SODIO FOSFATO,NEGATIVO
SOLUBILITA HCL,ECONAZOLO NITRATO,NEGATIVO
SOLUBILITA HCL,FENOLO,NEGATIVO
SOLUBILITA HCL,FTALILSULFATIAZOLO,NEGATIVO
SOLUBILITA HCL,FUROSEMIDE,NEGATIVO
SOLUBILITA HCL,IDROCORTISONE,NEGATIVO
SOLUBILITA HCL,IMIPRAMINA HCl,NEGATIVO
SOLUBILITA HCL,INDOMETACINA,NEGATIVO
SOLUBILITA HCL,METILPARABEN,NEGATIVO
SOLUBILITA HCL,PREDNISONE,NEGATIVO
SOLUBILITA HCL,PROBENECID,NEGATIVO
SOLUBILITA HCL,PROGESTERONE,NEGATIVO
SOLUBILITA HCL,PROPILPARABEN,NEGATIVO
SOLUBILITA HCL,SODIO BENZOATO,NEGATIVO
SOLUBILITA HCL,SODIO P-AMMINO SALICILATO,NEGATIVO
SOLUBILITA HCL,SODIO SALICILATO,NEGATIVO
SOLUBILITA HCL,SPIRONOLATTONE,NEGATIVO
SOLUBILITA HCL,SPIRONOLATTONE,NEGATIVO
SOLUBILITA HCL,TIMOLO,NEGATIVO
SOLUBILITA HCL,TOLBUTAMIDE,NEGATIVO
SOLUBILITA HCL,VANILLINA,NEGATIVO
SOLUBILITA HCL,ACETILCISTEINA,POSITIVO
SOLUBILITA HCL,ACIDO NICOTINICO,POSITIVO
SOLUBILITA HCL,ACIDO TANNICO,POSITIVO
SOLUBILITA HCL,BENZOCAINA,POSITIVO
SOLUBILITA HCL,CAFFEINA,POSITIVO
SOLUBILITA HCL,CALCIO GLICEROFOSFATO,POSITIVO
SOLUBILITA HCL,CALCIO GLICEROFOSFATO,POSITIVO
SOLUBILITA HCL,CALCIO LATTATO,POSITIVO
SOLUBILITA HCL,CAPTOPRIL,POSITIVO
SOLUBILITA HCL,CHINIDINA SOLFATO,POSITIVO
SOLUBILITA HCL,CHININA HCl,POSITIVO
SOLUBILITA HCL,CISTEINA HCl,POSITIVO
SOLUBILITA HCL,CLORALIO IDRATO,POSITIVO
SOLUBILITA HCL,CLORAMINA T,POSITIVO
SOLUBILITA HCL,CLOROCHINA BIFOSFATO,POSITIVO
SOLUBILITA HCL,DAPSONE,POSITIVO
SOLUBILITA HCL,DIFENIDRAMINA HCl,POSITIVO
SOLUBILITA HCL,FENAZONE,POSITIVO
SOLUBILITA HCL,FENILALANINA,POSITIVO
SOLUBILITA HCL,GLICINA,POSITIVO
SOLUBILITA HCL,ISONIAZIDE,POSITIVO
SOLUBILITA HCL,LIDOCAINA HCl,POSITIVO
SOLUBILITA HCL,MAGNESIO ASPARTATO,POSITIVO
SOLUBILITA HCL,MAGNESIO LATTATO,POSITIVO
SOLUBILITA HCL,MANNITOLO,POSITIVO
SOLUBILITA HCL,METFORMINA HCl,POSITIVO
SOLUBILITA HCL,METIONINA,POSITIVO
SOLUBILITA HCL,METRONIDAZOLO,POSITIVO
SOLUBILITA HCL,NICOTINAMIDE,POSITIVO
SOLUBILITA HCL,POTASSIO TARTRATO,POSITIVO
SOLUBILITA HCL,PROCAINA HCl,POSITIVO
SOLUBILITA HCL,PROCAINAMMIDE HCl,POSITIVO
SOLUBILITA HCL,PROLINA,POSITIVO
SOLUBILITA HCL,PROMETAZINA HCl,POSITIVO
SOLUBILITA HCL,PROPIFENAZONE,POSITIVO
SOLUBILITA HCL,SERINA,POSITIVO
SOLUBILITA HCL,SODIO ACETATO,POSITIVO
SOLUBILITA HCL,SODIO CITRATO,POSITIVO
SOLUBILITA HCL,SORBITOLO,POSITIVO
SOLUBILITA HCL,SULFADIAZINA,POSITIVO
SOLUBILITA HCL,SULFAGUANIDINA,POSITIVO
SOLUBILITA HCL,SULFAMERAZINA,POSITIVO
SOLUBILITA HCL,SULFATIAZOLO,POSITIVO
SOLUBILITA HCL,TEOFILLINA,POSITIVO
SOLUBILITA HCL,TREONINA,POSITIVO
SOLUBILITA HCL,VALINA,POSITIVO
SOLUBILITA NaHCO3,SPIRONOLATTONE,NEGATIVO
SOLUBILITA NaHCO3,CAFFEINA,POSITIVO
SOLUBILITA NAOH,BENZOCAINA,NEGATIVO
SOLUBILITA NAOH,CAFFEINA,NEGATIVO
SOLUBILITA NAOH,CALCIO GLICEROFOSFATO,NEGATIVO
SOLUBILITA NAOH,CALCIO GLICEROFOSFATO,NEGATIVO
SOLUBILITA NAOH,CALCIO LATTATO,NEGATIVO
SOLUBILITA NAOH,CHINIDINA SOLFATO,NEGATIVO
SOLUBILITA NAOH,CHININA HCl,NEGATIVO
SOLUBILITA NAOH,CLORBUTANOLO,NEGATIVO
SOLUBILITA NAOH,CORTISONE ACETATO,NEGATIVO
SOLUBILITA NAOH,DAPSONE,NEGATIVO
SOLUBILITA NAOH,DIFENIDRAMINA HCl,NEGATIVO
SOLUBILITA NAOH,ECONAZOLO NITRATO,NEGATIVO
SOLUBILITA NAOH,IDROCORTISONE,NEGATIVO
SOLUBILITA NAOH,IMIPRAMINA HCl,NEGATIVO
SOLUBILITA NAOH,LIDOCAINA HCl,NEGATIVO
SOLUBILITA NAOH,MAGNESIO ASPARTATO,NEGATIVO
SOLUBILITA NAOH,PREDNISONE,NEGATIVO
SOLUBILITA NAOH,PROCAINA HCl,NEGATIVO
SOLUBILITA NAOH,PROGESTERONE,NEGATIVO
SOLUBILITA NAOH,PROPIFENAZONE,NEGATIVO
SOLUBILITA NAOH,SPIRONOLATTONE,NEGATIVO
SOLUBILITA NAOH,SPIRONOLATTONE,NEGATIVO
SOLUBILITA NAOH,SULFAGUANIDINA,NEGATIVO
SOLUBILITA NAOH,TEOFILLINA,NEGATIVO
SOLUBILITA NAOH,ACIDO ACETILSALICILICO,POSITIVO
SOLUBILITA NAOH,ACIDO BENZOICO,POSITIVO
SOLUBILITA NAOH,ACIDO NICOTINICO,POSITIVO
SOLUBILITA NAOH,ACIDO SORBICO,POSITIVO
SOLUBILITA NAOH,ACIDO TANNICO,POSITIVO
SOLUBILITA NAOH,CAPTOPRIL,POSITIVO
SOLUBILITA NAOH,CISTEINA HCl,POSITIVO
SOLUBILITA NAOH,CLORAMINA T,POSITIVO
SOLUBILITA NAOH,DESAMETASONE SODIO FOSFATO,POSITIVO
SOLUBILITA NAOH,FENAZONE,POSITIVO
SOLUBILITA NAOH,FENILALANINA,POSITIVO
SOLUBILITA NAOH,FENOLO,POSITIVO
SOLUBILITA NAOH,FTALILSULFATIAZOLO,POSITIVO
SOLUBILITA NAOH,FUROSEMIDE,POSITIVO
SOLUBILITA NAOH,GLICINA,POSITIVO
SOLUBILITA NAOH,IDROCLOROTIAZIDE,POSITIVO
SOLUBILITA NAOH,INDOMETACINA,POSITIVO
SOLUBILITA NAOH,ISONIAZIDE,POSITIVO
SOLUBILITA NAOH,LATTOSIO,POSITIVO
SOLUBILITA NAOH,MANNITOLO,POSITIVO
SOLUBILITA NAOH,METFORMINA HCl,POSITIVO
SOLUBILITA NAOH,METILPARABEN,POSITIVO
SOLUBILITA NAOH,METIONINA,POSITIVO
SOLUBILITA NAOH,NICOTINAMIDE,POSITIVO
SOLUBILITA NAOH,PARACETAMOLO,POSITIVO
SOLUBILITA NAOH,POTASSIO TARTRATO,POSITIVO
SOLUBILITA NAOH,PROBENECID,POSITIVO
SOLUBILITA NAOH,PROCAINAMMIDE HCl,POSITIVO
SOLUBILITA NAOH,PROLINA,POSITIVO
SOLUBILITA NAOH,PROPILPARABEN,POSITIVO
SOLUBILITA NAOH,SACCARINA,POSITIVO
SOLUBILITA NAOH,SERINA,POSITIVO
SOLUBILITA NAOH,SODIO BENZOATO,POSITIVO
SOLUBILITA NAOH,SODIO CITRATO,POSITIVO
SOLUBILITA NAOH,SODIO P-AMMINO SALICILATO,POSITIVO
SOLUBILITA NAOH,SODIO SALICILATO,POSITIVO
SOLUBILITA NAOH,SORBITOLO,POSITIVO
SOLUBILITA NAOH,SUCRALOSIO,POSITIVO
SOLUBILITA NAOH,SULFADIAZINA,POSITIVO
SOLUBILITA NAOH,SULFAMERAZINA,POSITIVO
SOLUBILITA NAOH,SULFATIAZOLO,POSITIVO
SOLUBILITA NAOH,TEOBROMINA,POSITIVO
SOLUBILITA NAOH,TIMOLO,POSITIVO
SOLUBILITA NAOH,TOLBUTAMIDE,POSITIVO
SOLUBILITA NAOH,TREONINA,POSITIVO
SOLUBILITA NAOH,VALINA,POSITIVO
SOLUBILITA NAOH,VANILLINA,POSITIVO
SPETTROSCOPIA,ACIDO NICOTINICO,INFO
SPETTROSCOPIA,BENZOCAINA,INFO
SPETTROSCOPIA,CHINIDINA SOLFATO,INFO
TALLEIOCHINA (ALC CHINOLINICI),CHINIDINA SOLFATO,POSITIVO
TALLEIOCHINA (ALC CHINOLINICI),CHININA HCl,POSITIVO
TALLEIOCHINA (ALC CHINOLINICI),CHININA SOLFATO,POSITIVO
UREA & FLUORESCENZA (CITRATI),ACIDO CITRICO,POSITIVO
UREA & FLUORESCENZA (CITRATI),ACIDO TARTARICO,POSITIVO
UREA & FLUORESCENZA (CITRATI),LITIO CITRATO,POSITIVO
UREA & FLUORESCENZA (CITRATI),SODIO CITRATO,POSITIVO
UREA & FLUORESCENZA (CITRATI),SODIO CITRATO,POSITIVO
VANILLINA (ISONIAZIDE),CALCIO PANTOTENATO,NEGATIVO
VANILLINA (ISONIAZIDE),NICOTINAMIDE,NEGATIVO
VITALI-MORIN,CHINIDINA SOLFATO,NEGATIVO
VITALI-MORIN,DIFENIDRAMINA HCl,NEGATIVO
VITALI-MORIN,METRONIDAZOLO,NEGATIVO
VITALI-MORIN,TEOFILLINA,NEGATIVO
VITALI-MORIN,IMIPRAMINA HCl,POSITIVO
VITALI-MORIN,LIDOCAINA HCl,POSITIVO
VITALI-MORIN,SCOPOLAMINA HBr,POSITIVO
ZINKE-KONIG (PIRIDINE),ACIDO NICOTINICO,POSITIVO
ZINKE-KONIG (PIRIDINE),FENAZONE,POSITIVO
ZINKE-KONIG (PIRIDINE),ISONIAZIDE,POSITIVO
ZINKE-KONIG (PIRIDINE),NICOTINAMIDE,POSITIVO
ZINKE-KONIG (PIRIDINE),NICOTINAMIDE,POSITIVO
ZINKE-KONIG (PIRIDINE),PIRIDOSSINA HCl,POSITIVO
VITALI-MORIN,PROPIFENAZONE,POSITIVO
CORALINA (ALC ISOCHINOLINICI),PROPIFENAZONE,POSITIVO
NINIDRINA (AMINOACIDI),TEOFILLINA,NEGATIVO
AMMINE TERZIARIE (DRAGENDORFF),IMIPRAMINA HCl,POSITIVO
AMMINE TERZIARIE (BOUCHARDAT),IMIPRAMINA HCl,POSITIVO
